Sr. No.,CAB Id,CAB Name,User Name,Standard,Field,Assessment Type,Contact Person,Email,Mobile,Address,State,City,Pincode,Status,Discipline/Category,Group/Activity(s),Certificate Number,Certificate Issue Date,Certificate Valid Till,Certificate Extend Date,Certificate Ammendment Date,Do Alloted,Created On
30,M-4940,RAINBOW DIAGNOSTICS UNIT OF VIRAJ DIAGNOSTICS PRIVATE LIMITED,nabl034833,2022,Medical,Renewal of Accreditation,VIJAY KUMAR,kvijayrainbow1@gmail.com,9810990496,"SC-45, SHALIMAR GARDEN, SAHIBABAD",Uttar Pradesh,Ghaziabad,201005,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,MI CAB - Ultrasound and Color Doppler,MI CAB - Projectional Radiography and Fluoroscopy,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-6490,01/05/2026,30/04/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
31,M-4892,PROGNOSIS LABORATORIES A SUBSIDIARY OF MEDGENOME,nabl034856,2022,Medical,Renewal of Accreditation,SHIVANI RAWAT,quality@prlworld.com,8285475028,"515-516, SECTOR-19, DWARKA",Delhi,New Delhi,110075,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6188,29/08/2025,28/08/2029,,,Archive Applications,May 13 2026 7:30AM
32,M-4994,VIJAYA DIAGNOSTIC CENTRE LIMITED,nabl034862,2022,Medical,Renewal of Accreditation,Vijaya Sree Mathe,vijayasree.mathe@vijayadiagnostic.in,9989701120,"SY.NO.15, 16/1, 15/2, 11, 11/2, 12, 13, 14, PAIKI&14, HABSIGUDA, KAKATIYA NAGAR",Telangana,Hyderabad,500007,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--",MC-8078,06/05/2026,05/05/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
33,M-4995,VIJAYA DIAGNOSTIC CENTRE LIMITED,nabl034863,2022,Medical,Renewal of Accreditation,VIJAYA SREE MATHE,vijayasree.mathe@vijayadiagnostic.in,9989701120,"16-11-741/CC & C/C1, C/C2, C3, C/CA TO B,C, CD 7 ON PLOT NO.3A, SY.NO.316/1-2,16-11-74/C/4, GADDIANNARAM, DILSUKHNAGAR",Telangana,Hyderabad,500036,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-8070,30/04/2026,29/04/2030,,,Archive Applications,May 13 2026 7:30AM
34,M-4893,LIFENITY HEALTH LIMITED,nabl034884,2022,Medical,Renewal of Accreditation,SUNIL K SINGH,quality.lp@lifenitywellness.com,7977214776,"12TH FLOOR, D WING, TRADE WORLD, KAMALA MILLS COMPOUND, SENAPATI BAPAT ROAD, LOWER PAREL(W)",Maharashtra,Mumbai,400013,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6118,02/01/2025,21/12/2028,,14/01/2025,Archive Applications,May 13 2026 7:30AM
35,M-5019,LUPIN DIAGNOSTICS (LUPIN DIAGNOSTICS LIMITED),nabl034907,2022,Medical,Onsite Surveillance,Krishna Kumar Yadav,krishnayadav4@lupindiagnostics.com,7004232894,"GROUND FLOOR AND FIRST FLOOR, DEOKI COMMERCIAL COMPLEX, DS-11, LOHIA NAGAR, DOCTORS COLONY, KANKARBAGH, P.S: AGAMKUAN.",Bihar,Patna,800020,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",",--Select Group--",MC-6576,24/09/2025,02/06/2026,,,Archive Applications,May 13 2026 7:30AM
36,M-4896,AGILUS DIAGNOSTICS LIMITED,nabl034910,2022,Medical,Renewal of Accreditation,Geetha B S,Path.Nab@fortishealthcare.com,9886779236,"#23, GURUKRUPA LAYOUT, 80 FEET RAOD, NAGARBHAVI 2ND STAGE",Karnataka,Bengaluru,560072,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6106,12/05/2025,11/05/2029,,,Archive Applications,May 13 2026 7:30AM
37,M-4910,PREDLABS PRIVATE LIMITED,nabl034924,2022,Medical,Renewal of Accreditation,Niharika Sharma,quality@predlabs.in,8955641143,"SREE SAI PADMA ARCADE, PREDLABS, 2ND AND 3RD FLOOR, WHITEFIELD",Karnataka,Bengaluru,560066,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Haematology & Immunohaematology",",--Select Group--",MC-6384,14/03/2026,13/03/2030,,17/03/2026,Archive Applications,May 13 2026 7:30AM
38,M-4900,"METROPOLIS HEALTHCARE LIMITED, SURAT",nabl034970,2022,Medical,Renewal of Accreditation,GARGI PATEL,gargi.patel@metropolisindia.com,9825499636,"1ST, 2ND, 5TH, 6TH & 7TH FLOOR, MAHER PARK-A, J P ROAD, ATHWAGATE",Gujarat,Surat,395001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6565,31/05/2024,30/05/2026,,,Archive Applications,May 13 2026 7:30AM
39,M-4977,CARESURE DIAGNOSTIC CENTRE (A UNIT OF CARESURE PRIVATE LIMITED),nabl035019,2022,Medical,Onsite Surveillance,TAPAS HALDAR,vinaydhanuka@gmail.com,9903633402,"109, JESSORE ROAD",West Bengal,Kolkata,700129,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-6731,10/10/2025,17/08/2026,,,Gayathri S,May 13 2026 7:30AM
40,M-5025,"DEPARTMENT OF LABORATORY SERVICES, EXCEL HOSPITAL PRIVATE LIMITED",nabl035109,2022,Medical,Onsite Surveillance,MANINDER KAUR SONI,milisoni78@gmail.com,9918123109,"14/138, CHUNNI GANJ",Uttar Pradesh,Kanpur,208001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-6579,05/06/2024,04/06/2026,,08/09/2025,Shareen Roben,May 13 2026 7:30AM
41,M-5038,INDUS JAIPUR HOSPITAL,nabl035129,2022,Medical,Onsite Surveillance,ASHISH,drashishsethi83@gmail.com,9460117877,"SHIPRA PATH, SECTOR 5 MANSAROVAR",Rajasthan,Jaipur,302020,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",",--Select Group--",MC-6658,26/09/2025,02/07/2026,,,Gayathri S,May 13 2026 7:30AM
42,M-5246,MACARE DIAGNOSTICS AND CLINIC,nabl035155,2022,Medical,First Accreditation,BIJU T C,bhmacarethrissur@manappuramfoundation.org,9645501183,"V/696/ 1 TO 3 GROUND FLOOR, KRISHNA TOWER, ASWANI JN, TUDA ROAD",Kerala,Thrissur,680020,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-7255,21/03/2025,20/03/2029,,,Archive Applications,May 13 2026 7:30AM
43,M-4915,NEUBERG SUPRATECH REFERENCE LABORATORIES (A UNIT OF NEUBERG DIAGNOSTICS PRIVATE LIMITED),nabl035167,2022,Medical,Scope Extension,PRASHANT M PARIKH,drpmparikh@rediff.com,9898022832,"GF/FF, FF/10 KEDAR 2, BRAHMIN MITRA MANDAL SOCIETY, PARIMAL CROSSING ROAD, ELLISBRIDGE",Gujarat,Ahmedabad,380006,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology",",--Select Group--",MC-6136,09/11/2024,08/11/2028,,17/09/2025,Archive Applications,May 13 2026 7:30AM
44,M-4946,OMEGA HOSPITALS (HYDERABAD INSTITUTE OF ONCOLOGY PVT. LTD.),nabl035198,2022,Medical,Onsite Surveillance,MONAL DAYAL,labquality@omegahospitals.com,8885022808,"SY. NO.18 P, SEVENHILLS COLONY, ROAD NO. 1, GACHIBOWLI",Telangana,Hyderabad,500032,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6587,18/07/2025,06/06/2026,,,Archive Applications,May 13 2026 7:30AM
45,M-5049,ASTER CLINICAL LAB LLP,nabl035221,2022,Medical,First Accreditation,BEENA RANI,beena.rani@asterlabs.in,9249939123,"ASTER MIMS HOSPITAL, GOVINDAPURAM",Kerala,Kozhikode,673016,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-6714,10/08/2024,09/08/2026,,,Archive Applications,May 13 2026 7:30AM
46,M-4919,"NEUBERG CENTER FOR GENOMIC MEDICINE, A UNIT OF NEUBERG DIAGNOSTICS PVT LTD",nabl035242,2022,Medical,Renewal of Accreditation,USHMA SOLANKI,quality.ncgm@neubergdiagnostics.com,9227505026,SINDHU BHAVAN ROAD,Gujarat,Ahmedabad,380054,Accreditation Certificate Approved and Issued,"Molecular Testing,Cytogenetics",,MC-6200,08/12/2024,07/12/2028,,,Archive Applications,May 13 2026 7:30AM
47,M-4921,PLASMA HEALTHCHEK DIAGNOSTICS PVT. LTD,nabl035254,2022,Medical,NABL 201,SNEH LATA,sneh@healthchek.in,8826814040,"133, POCKET D, MAYUR VIHAR",Delhi,Delhi,110091,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology",,MC-6616,12/11/2025,20/06/2026,,,Gayathri S,May 13 2026 7:30AM
48,M-4982,STERLING ACCURIS PATHOLOGY LABORATORY,nabl035286,2022,Medical,First Accreditation,Parul Parmar,info.sampathrao@sterlingaccuris.com,7861815250,"58, GROUND FLOOR, MEMORIES HOUSE, SAMPATRAO COLONY",Gujarat,Vadodara,390007,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6589,07/06/2024,06/06/2026,,,Archive Applications,May 13 2026 7:30AM
49,M-4979,"CLINICAL BIOCHEMISTRY LABORATORY, AIIMS NAGPUR",nabl035345,2022,Medical,Renewal of Accreditation,Yogesh Pawade,clinibiochemlab@aiimsnagpur.edu.in,7506036750,"ROOM NO: 11, LABORATORY BLOCK, GROUND FLOOR, IPD BLOCK PLOT NO. 2, SECTOR 20",Maharashtra,Nagpur,441108,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-6514,08/05/2026,07/05/2030,,09/05/2026,Haribabu Aennampalli,May 13 2026 7:30AM
50,M-4934,"ORANGE HEALTH LABS, A UNIT OF ORCHARD HEALTHCARE PRIVATE LIMITED",nabl035354,2022,Medical,Renewal of Accreditation,Rajini K V,rajini@orangehealth.in,9916663055,"#912, 2ND FLOOR, VENKAPPA GARDEN, GKR TOWER, KORAMANGALA, BENGALURU URBAN",Karnataka,Bengaluru,560095,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-6367,06/03/2026,05/03/2030,,11/03/2026,Archive Applications,May 13 2026 7:30AM
51,M-4931,HYBRINOMICS LIFE SCIENCE AND DIAGNOSTICS LLP,nabl035365,2022,Medical,Renewal of Accreditation,PRABHU MEGANATHAN,prabmeg@hybrinomics.com,9986526050,"SITE NO. 50, 2ND MAIN, MARUTHI TOWNSHIP, B. HANUMANTHANAGAR, BILESHIVALE, DODDAGUBBI POST",Karnataka,Bengaluru,560077,Accreditation Certificate Approved and Issued,Histopathology,,MC-8015,25/03/2026,24/03/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
52,M-4990,DR. HARESH SAHIJWALA'S MEDICAL CENTRE LLP,nabl035401,2022,Medical,Renewal of Accreditation,ISMAIL KARBARI,pemekalina@drharesh.com,9819984646,"G-236, ZILLION, LBS MARG, CST ROAD JUNCTION, KURLA WEST",Maharashtra,Mumbai,400070,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-6447,08/04/2026,07/04/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
53,M-4943,SERVICEBRIGHT PATHOLOGY AND WELLNESS LLP,nabl035425,2022,Medical,Onsite Surveillance,SUVRA GAYEN,lab@apolloballygunge.com,8478892585,"56, LEELA ROY SARANI",West Bengal,Kolkata,700019,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-6566,20/06/2025,30/05/2026,,,Archive Applications,May 13 2026 7:30AM
54,M-4939,AAYUSH NRI LEPL HEALTHCARE PVT. LTD.,nabl035456,2022,Medical,Onsite Surveillance,Kalyan Koti,qaaayush@gmail.com,8498061184,"#48-13-3 & 3A, RING ROAD, SRI RAMACHANDRA NAGAR",Andhra Pradesh,Vijayawada,520008,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Clinical Pathology",,MC-6627,25/06/2025,25/06/2026,,,Archive Applications,May 13 2026 7:30AM
55,M-4930,REVVITY HEALTH SCIENCES PRIVATE LIMITED,nabl035470,2022,Medical,Renewal of Accreditation,Rajiv Rose,Rajiv.Rose@revvity.com,9176625757,"BLOCK NO. 702-704, 7TH FLOOR, TICEL BIO PARK, PHASE II, CSIR RD, THARAMANI",Tamil Nadu,Chennai,600113,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Cytogenetics",,MC-6167,23/11/2025,22/11/2029,,,Archive Applications,May 13 2026 7:30AM
56,M-5135,PROGNOSTIC PATH LAB - A UNIT OF NTNH & DIAGNOSTIC CO. PVT. LTD. (DEPARTMENT OF LABORATORY SERVICES),nabl035498,2022,Medical,First Accreditation,PRITHWEESH NASKAR,prognosticpathlab@gmail.com,8617256799,"229, B/B-2, RAJARHAT ROAD, TAL TALA, 24 PARAGANAS NORTH",West Bengal,Kolkata,700059,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-6808,10/09/2024,09/09/2026,,,Archive Applications,May 13 2026 7:30AM
57,M-4974,LUPIN DIAGNOSTICS (LUPIN DIAGNOSTICS LIMITED),nabl035510,2022,Medical,Renewal of Accreditation,Monal Dixit,monaldixit@lupindiagnostics.com,9630607967,"NO G-5, FORTUNE AMBIENCE, 4/2, SOUTH TUKOGANJ",Madhya Pradesh,Indore,452001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Haematology & Immunohaematology",,MC-6479,24/04/2026,23/04/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
58,M-5053,LUPIN DIAGNOSTICS (LUPIN DIAGNOSTICS LIMITED),nabl035516,2022,Medical,Onsite Surveillance,Gaurav Jadhav,gauravjadhav@lupindiagnostics.com,9822686527,"39 A1, E WARD, NUCLEUS APARTMENT, TARA BAI PARK, CIRCUIT HOUSE ROAD",Maharashtra,Kolhapur,416003,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-6762,11/09/2025,23/08/2026,,,Suresh P,May 13 2026 7:30AM
59,M-4964,THYROCARE TECHNOLOGIES LIMITED,nabl035521,2022,Medical,Renewal of Accreditation,Niraj Kumar,niraj.k@thyrocare.com,7209964314,"PLOT NO. 420 C, 2ND FLOOR GARGI AURA, IDA SCHEME 114 PART 1, AB ROAD, DEWAS NAKA",Madhya Pradesh,Indore,452010,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6368,06/03/2026,05/03/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
60,M-4965,THYROCARE TECHNOLOGIES LIMITED,nabl035526,2022,Medical,Renewal of Accreditation,Niraj Kumar,niraj.k@thyrocare.com,7209964314,"THE CHAND MALL, 1ST FLOOR, FATEHGARH CHURIAN ROAD",Punjab,Amritsar,143001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-6410,22/03/2026,21/03/2030,,10/04/2026,Haribabu Aennampalli,May 13 2026 7:30AM
61,M-5044,"CENTRE FOR HIV TESTING, STATE REFERENCE LABORATORY, DEPARTMENT OF MICROBIOLOGY, LADY HARDINGE MEDICAL COLLEGE",nabl035540,2022,Medical,Onsite Surveillance,ROJALIN NAYAK,srl.lhmc@gmail.com,9654540320,"ROOM NO. 203 & 204, 2ND FLOOR, DEPARTMENT OF MICROBIOLOGY, LADY HARDINGE MEDICAL COLLEGE",Delhi,New Delhi,110001,Accreditation Certificate Approved and Issued,Microbiology & Infectious disease serology,,MC-6550,21/07/2025,26/05/2026,,,Haribabu Aennampalli,May 13 2026 7:30AM
62,M-5023,(DEPARTMENT OF LABORATORY MEDICINE) SEN DIAGNOSTICS PRIVATE LIMITED,nabl035543,2022,Medical,Onsite Surveillance,INDRONEEL SEN,senindro@gmail.com,9955770976,"BUDH MARG, MAURYA LOK",Bihar,Patna,800001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-6584,07/06/2024,06/06/2026,,24/07/2025,Archive Applications,May 13 2026 7:30AM
63,M-4973,"DEPARTMENT OF PATHOLOGY, SHALBY MULTISPECIALITY HOSPITAL",nabl035565,2022,Medical,Onsite Surveillance,LOVELY MANN,pathology2.mohali@shalby.in,7508001516,"PHASE 9, SECTOR 63",Punjab,Mohali,160062,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-6568,03/06/2024,02/06/2026,,21/07/2025,Archive Applications,May 13 2026 7:30AM
64,M-4987,KRSNAA DIAGNOSTICS LTD.,nabl035578,2022,Medical,First Accreditation,VINOD LONKAR,quality.pune@krsnaa.in,9822945055,"PLOT NO.- 1215/1518, Khandagiribari, GHATIKiA, BBSR",Odisha,Bhubaneswar,751030,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6665,05/07/2024,04/07/2026,,,Archive Applications,May 13 2026 7:30AM
65,M-5124,R B DIAGNOSTIC PRIVATE LIMITED,nabl035607,2022,Medical,Scope Extension,Mansi Gulati,lab@rbdiagnostics.com,9330023598,"P-846, BLOCK-A, LAKE TOWN",West Bengal,Kolkata,700089,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7108,17/01/2025,16/01/2029,,27/04/2026,Haribabu Aennampalli,May 13 2026 7:30AM
66,M-4942,"MEDICAL LABORATORY, SHRI RAM SUPER SPECIALITY SURGICAL CENTRE PRIVATE LIMITED",nabl035611,2022,Medical,First Accreditation,RUCHI KANWAR,shriramlaboratry@gmail.com,9636046804,"PLOT NO. 08, DOLE KHA KI CHEKI PAL ROAD",Rajasthan,Jodhpur,342003,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-6679,12/07/2024,11/07/2026,,,Archive Applications,May 13 2026 7:30AM
67,M-4969,THYROCARE TECHNOLOGIES LIMITED,nabl035628,2022,Medical,Renewal of Accreditation,Abhijit Das,das.abhijit@thyrocare.com,8617789411,"BLOCK 101, 102, 103, 116, FIRST FLOOR, MAITRI WILLOWS, SIR BENOZI MEHTA ROAD",Maharashtra,Nagpur,440018,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-6408,21/03/2026,20/03/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
68,M-5560,HOMI BHABHA CANCER HOSPITAL & RESEARCH CENTRE - MEDICAL LABORATORIES (A UNIT OF TATA MEMORIAL CENTRE),nabl035644,2022,Medical,First Accreditation,PUNEET PUNDIR,quality.m@hbchrcm.tmc.gov.in,9876959245,"PLOT NO.1, MEDICITY, NEW CHANDIGARH, S.A.S. NAGAR, MOHALI",Punjab,Mullanpur Garibdas,140901,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-7358,14/05/2025,13/05/2029,,,Archive Applications,May 13 2026 7:30AM
69,M-5134,"""POLY LAB"" UNIT OF LEO CLINICAL DIAGNOSTIC CENTRE LLP",nabl035656,2022,Medical,Onsite Surveillance,THARA JACOB,quality@leolabs.in,9446567962,"45/4050, A.V.K. NAIR ROAD",Kerala,Thalassery,670101,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-6940,04/12/2025,31/10/2028,,,Archive Applications,May 13 2026 7:30AM
70,M-5029,"ZIAGNOSIS, A UNIT OF YOLALITA HEALTHCARE SERVICES PRIVATE LIMITED",nabl035704,2022,Medical,Onsite Surveillance,RAJEEV RANJAN,ceo@ziagnosis.com,9818957365,"PROPERTY NO.D-89, KH.NO - 272/1, FIRST FLOOR, MAIN 100 FEET ROAD, CHHATTARPUR ENCLAVE",Delhi,New Delhi,110074,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-6586,07/06/2024,06/06/2026,,08/09/2025,Shareen Roben,May 13 2026 7:30AM
71,M-5020,YATHARTH WELLNESS SUPER SPECIALITY HOSPITAL AND HEART CENTRE,nabl035708,2022,Medical,First Accreditation,RAJKUMAR,rk2831569@gmail.com,9582244484,"NH-01, SECTOR-110",Uttar Pradesh,Noida,201304,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-6623,26/06/2024,25/06/2026,,,Archive Applications,May 13 2026 7:30AM
72,M-5026,A J HOSPITAL AND RESEARCH CENTRE,nabl035715,2022,Medical,Scope Extension,AKSHATHA S KAMATH,drakskamath@gmail.com,8951839562,"NH 66, KUNTIKANA",Karnataka,Mangaluru,575004,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6647,03/07/2024,02/07/2026,,31/12/2025,Archive Applications,May 13 2026 7:30AM
73,M-4960,DR HARESH SAHIJWALA'S MEDICAL CENTRE LLP,nabl035736,2022,Medical,First Accreditation,SUMITRA NAIK,pemegoa@drharesh.com,9511891798,"307, CROSS ROAD AVENUE - COMMERCIAL PLAZA, ESTERN EXPRESS BYPASS ROAD, FATORDA",Goa,Margao,403602,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-6552,27/05/2024,26/05/2026,,,Archive Applications,May 13 2026 7:30AM
74,M-4962,THYROCARE TECHNOLOGIES LIMITED,nabl035738,2022,Medical,Renewal of Accreditation,Abhijit Das,das.abhijit@thyrocare.com,8617789411,"SHOP NO 4-11A, 1ST FLOOR, UNIQUE DESTINATION (0138), TONK ROAD",Rajasthan,Jaipur,302015,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-6369,08/03/2026,07/03/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
75,M-5051,DR LAL PATHLABS LTD,nabl035781,2022,Medical,First Accreditation,GARIMA GUPTA,garima.gupta@lalpathlabs.com,9099007708,"AADHAR HOSPITAL, SOUTH BYPASS CROSSING, NH-10",Haryana,Hisar,125001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6572,03/06/2024,02/06/2026,,,Archive Applications,May 13 2026 7:30AM
76,M-4956,AGILUS DIAGNOSTICS LIMITED - DR. GAJENDRA YADAV PATHLAB,nabl035794,2022,Medical,Renewal of Accreditation,GAJENDRA YADAV,gsyadav62@yahoo.co.in,9896055573,"176, KRISHNA NAGAR, GARHI BOLNI ROAD",Haryana,Rewari,123401,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6698,31/07/2024,30/07/2026,,,Archive Applications,May 13 2026 7:30AM
77,M-4999,ANDERSON DIAGNOSTICS AND LABS (A UNIT OF ANDERSON DIAGNOSTIC SERVICES PVT LTD),nabl035829,2022,Medical,Scope Extension,ELANGOVAN,lab-in-charge@andersondiagnostics.com,9962595013,"26 RAJARATHINAM STREET, KILPAUK",Tamil Nadu,Chennai,600010,Accreditation Certificate Approved and Issued,"Molecular Testing,Cytogenetics",,MC-6558,29/05/2024,28/05/2026,,12/03/2025,Archive Applications,May 13 2026 7:30AM
